key	text	tooltip
#Loc;1;text/db/derpy_chd_zharr_exchange.loc
pooled_resources_display_name_derpy_chd_ex_hold_animals	Exotic Animals	false
pooled_resources_display_name_derpy_chd_ex_hold_dyes	Dyes	false
pooled_resources_display_name_derpy_chd_ex_hold_gems	Gemstones	false
pooled_resources_display_name_derpy_chd_ex_hold_gold_idols	Golden Idols	false
pooled_resources_display_name_derpy_chd_ex_hold_ivory	Tusks	false
pooled_resources_display_name_derpy_chd_ex_hold_medicine	Medicinal Plants	false
pooled_resources_display_name_derpy_chd_ex_hold_obsidian	Carved Obsidian	false
pooled_resources_display_name_derpy_chd_ex_hold_rom_furs	Furs	false
pooled_resources_display_name_derpy_chd_ex_hold_rom_glass	Dwarf Beer	false
pooled_resources_display_name_derpy_chd_ex_hold_rom_iron	Iron	false
pooled_resources_display_name_derpy_chd_ex_hold_rom_lead	Salt	false
pooled_resources_display_name_derpy_chd_ex_hold_rom_marble	Marble	false
pooled_resources_display_name_derpy_chd_ex_hold_rom_textiles	Pottery	false
pooled_resources_display_name_derpy_chd_ex_hold_rom_timber	Timber	false
pooled_resources_display_name_derpy_chd_ex_hold_rom_wine	Wine	false
pooled_resources_display_name_derpy_chd_ex_hold_spices	Spices	false
pooled_resources_display_name_derpy_chd_ex_hold_trinkets	Elven Trinkets	false
derpy_chd_ex_teb_dem_tithe_animals_title	A Note Presented: Exotic Animals	false
derpy_chd_ex_teb_dem_tithe_animals_primary	The menageries are empty and a triumph has been promised. A parade with nothing in the cages is a parade about the man who paid for it. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
derpy_chd_ex_teb_dem_tithe_animals_secondary	Sacrifice 30 Exotic Animals in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_hunger_animals_title	The Compact Calls: Exotic Animals	false
derpy_chd_ex_teb_dem_hunger_animals_primary	The menageries are empty and a triumph has been promised. A parade with nothing in the cages is a parade about the man who paid for it. The Compact requires 90, payable on presentation. Larger than a season's dues, and the covering letter mentions your signature twice.	false
derpy_chd_ex_teb_dem_hunger_animals_secondary	Sacrifice 90 Exotic Animals in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_wrath_animals_title	The Debt Called In: Exotic Animals	false
derpy_chd_ex_teb_dem_wrath_animals_primary	The menageries are empty and a triumph has been promised. A parade with nothing in the cages is a parade about the man who paid for it. The Compact requires 180, payable on presentation. The full sum, at once. Three houses have bought the paper between them and they have stopped writing letters.	false
derpy_chd_ex_teb_dem_wrath_animals_secondary	Sacrifice 180 Exotic Animals in the Merchant Compact within 3 turns, or answer for it.	false
derpy_chd_ex_teb_dem_tithe_dyes_title	A Note Presented: Dyes	false
derpy_chd_ex_teb_dem_tithe_dyes_primary	Purple is worn by three princes this year and made by nobody. What is left of the trade is in your warehouse and the Compact knows the number. The Compact requires 30, payable on presentation. A modest draft against your account, drawn in the ordinary way and payable on sight.	false
